Day,VehicleJourneyRef,DestinationAimedArrivalTime,JourneyCode,FromStopID,ToStopID,AimedDepartureTime,AimedArrivalTime,ActualDepartureTime,ActualArrivalTime,RouteID,TravelTime,ArrivalDifference,DepartureDifference,HourOfDay,ArrivalHour
Thursday,NT1-In-2001-NT260007226-2024-08-22T16:13:00-2024-08-22,16:33:00,1153.0,260007462,260007307,2024-08-22 16:22:00,2024-08-22 16:22:00,2024-08-22 16:25:47,2024-08-22 16:25:47,1:7_5_2147483505,0.0,3.783333333333333,3.783333333333333,16,16
Thursday,NT1-In-2001-NT260007226-2024-08-22T16:13:00-2024-08-22,16:33:00,1153.0,260007307,260007487,2024-08-22 16:22:00,2024-08-22 16:23:00,2024-08-22 16:25:47,2024-08-22 16:26:04,1:7_6_3425,0.2833333333333333,3.066666666666667,3.783333333333333,16,16
Thursday,NT1-In-2001-NT260007226-2024-08-22T16:13:00-2024-08-22,16:33:00,1153.0,260007487,3300RU0699,2024-08-22 16:23:00,2024-08-22 16:27:00,2024-08-22 16:26:04,2024-08-22 16:29:03,1:7_7_6850,2.9833333333333334,2.05,3.066666666666667,16,16
Thursday,NT1-In-2001-NT260007226-2024-08-22T16:13:00-2024-08-22,16:33:00,1153.0,3300RU0699,3300RU0700,2024-08-22 16:27:00,2024-08-22 16:28:00,2024-08-22 16:29:03,2024-08-22 16:29:50,1:7_8_6814,0.7833333333333333,1.8333333333333333,2.05,16,16
Thursday,NT1-In-2001-NT260007226-2024-08-22T16:13:00-2024-08-22,16:33:00,1153.0,3300RU0700,3300RU0400,2024-08-22 16:28:00,2024-08-22 16:29:00,2024-08-22 16:29:50,2024-08-22 16:31:33,1:7_9_10222,1.7166666666666666,2.55,1.8333333333333333,16,16
Thursday,NT1-In-2001-NT260007226-2024-08-22T16:13:00-2024-08-22,16:33:00,1153.0,3300RU0400,3300RU0398,2024-08-22 16:29:00,2024-08-22 16:31:00,2024-08-22 16:31:33,2024-08-22 16:34:24,1:7_10_2147483276,2.85,3.4,2.55,16,16
Thursday,NT1-In-2001-NT260007226-2024-08-22T16:13:00-2024-08-22,16:33:00,1153.0,3300RU0398,3300RU0919,2024-08-22 16:31:00,2024-08-22 16:31:00,2024-08-22 16:34:24,2024-08-22 16:35:20,1:7_11_18116,0.9333333333333332,4.333333333333333,3.4,16,16
Thursday,NT1-In-2001-NT260007226-2024-08-22T16:13:00-2024-08-22,16:33:00,1153.0,3300RU0919,3300RU0937,2024-08-22 16:31:00,2024-08-22 16:31:00,2024-08-22 16:35:20,2024-08-22 16:35:20,1:7_12_4249,0.0,4.333333333333333,4.333333333333333,16,16
Wednesday,NT1-In-2001-NT260007454-2024-08-21T07:17:00-2024-08-21,07:27:00,1033.0,260007454,260007423,2024-08-21 07:17:00,2024-08-21 07:17:00,2024-08-21 07:19:28,2024-08-21 07:20:10,1:1_1_2147483284,0.7,3.1666666666666665,2.466666666666667,7,7
Wednesday,NT1-In-2001-NT260007454-2024-08-21T07:17:00-2024-08-21,07:27:00,1033.0,260007423,260007343,2024-08-21 07:17:00,2024-08-21 07:18:00,2024-08-21 07:20:10,2024-08-21 07:20:53,1:1_2_2147483283,0.7166666666666667,2.8833333333333333,3.1666666666666665,7,7
Wednesday,NT1-In-2001-NT260007454-2024-08-21T07:17:00-2024-08-21,07:27:00,1033.0,260007343,260007462,2024-08-21 07:18:00,2024-08-21 07:20:00,2024-08-21 07:20:53,2024-08-21 07:23:50,1:1_3_2147483509,2.95,3.8333333333333335,2.8833333333333333,7,7
Wednesday,NT1-In-2001-NT260007454-2024-08-21T07:17:00-2024-08-21,07:27:00,1033.0,260007462,260007307,2024-08-21 07:20:00,2024-08-21 07:20:00,2024-08-21 07:23:50,2024-08-21 07:23:50,1:1_4_2147483505,0.0,3.8333333333333335,3.8333333333333335,7,7
Wednesday,NT1-In-2001-NT260007454-2024-08-21T07:17:00-2024-08-21,07:27:00,1033.0,260007307,260007487,2024-08-21 07:20:00,2024-08-21 07:21:00,2024-08-21 07:23:50,2024-08-21 07:23:50,1:1_5_3425,0.0,2.833333333333333,3.8333333333333335,7,7
Wednesday,NT1-In-2001-NT260007454-2024-08-21T07:17:00-2024-08-21,07:27:00,1033.0,260007487,3300RU0699,2024-08-21 07:21:00,2024-08-21 07:25:00,2024-08-21 07:23:50,2024-08-21 07:26:45,1:1_6_6850,2.9166666666666665,1.75,2.833333333333333,7,7
Wednesday,NT1-In-2001-NT260007454-2024-08-21T07:17:00-2024-08-21,07:27:00,1033.0,3300RU0699,3300RU0700,2024-08-21 07:25:00,2024-08-21 07:26:00,2024-08-21 07:26:45,2024-08-21 07:26:45,1:1_7_6814,0.0,0.75,1.75,7,7
Wednesday,NT1-In-2001-NT260007454-2024-08-21T07:17:00-2024-08-21,07:27:00,1033.0,3300RU0700,3300RU0400,2024-08-21 07:26:00,2024-08-21 07:27:00,2024-08-21 07:26:45,2024-08-21 07:29:08,1:1_8_10222,2.3833333333333333,2.1333333333333333,0.75,7,7
