id,features
196,"[0.03515625,0.43536512918468245,0.43402827586691917,0.30434782608695654,0.0,0.12184115338660154]"
197,"[0.0625,0.4355619666562321,0.4311279142745743,0.43478260869565216,0.0,0.4036101157271654]"
198,"[0.0625,0.4358637841063509,0.4342255793791625,0.43478260869565216,0.0,0.4036101157271654]"
199,"[0.125,0.4358769065919396,0.4309766482986979,0.6086956521739131,0.0,0.38916969619863545]"
200,"[0.125,0.43558165040808,0.43454126497993556,0.6086956521739131,0.0,0.38916969619863545]"
201,"[0.15234375,0.43729413644341264,0.43543570756250005,0.7391304347826086,0.0,0.0955956676541422]"
202,"[0.15234375,0.4375303413717284,0.4359618503245368,0.7391304347826086,0.0,0.0955956676541422]"
203,"[0.15234375,0.4378584038868841,0.4361986145015962,0.7391304347826086,0.0,0.0955956676541422]"
204,"[0.15234375,0.4378584038868841,0.43652745375138957,0.7391304347826086,0.0,0.0955956676541422]"
205,"[0.15234375,0.4380552413584337,0.43652745375138957,0.7391304347826086,0.0,0.0955956676541422]"
206,"[0.06640625,0.4361721627992641,0.43338375106339355,0.43478260869565216,0.0,0.1920577527335441]"
207,"[0.06640625,0.4361918465745769,0.4348372202483006,0.43478260869565216,0.0,0.1920577527335441]"
208,"[0.09375,0.4367101852715581,0.433291676131782,0.5217391304347826,0.0,0.22671480091642696]"
209,"[0.09375,0.4364149290642336,0.43537651656527604,0.5217391304347826,0.0,0.22671480091642696]"
210,"[0.12890625,0.4357456816187281,0.43102268564690166,0.6521739130434783,0.0,0.42960287087851917]"
211,"[0.12890625,0.43599500910302724,0.4344097293129468,0.6521739130434783,0.0,0.42960287087851917]"
212,"[0.15625,0.4370776151496205,0.43574481638580376,0.7391304347826086,0.0,0.04534296121614567]"
213,"[0.15625,0.43668394020652124,0.43574481638580376,0.7391304347826086,0.0,0.04534296121614567]"
214,"[0.15625,0.4376156376219145,0.435350209361317,0.7391304347826086,0.0,0.04534296121614567]"
215,"[0.15625,0.4376156376219145,0.43628411270277917,0.7391304347826086,0.0,0.04534296121614567]"
216,"[0.15625,0.43722196267881525,0.43628411270277917,0.7391304347826086,0.0,0.04534296121614567]"
217,"[0.09375,0.43575880412778173,0.43105556962832997,0.5217391304347826,0.0,0.42815884958287176]"
218,"[0.09375,0.4360146928314103,0.4344228828914059,0.5217391304347826,0.0,0.42815884958287176]"
219,"[0.12890625,0.4356866303866492,0.43259453696737926,0.6521739130434783,0.0,0.26353790169998653]"
220,"[0.12890625,0.4360540603351062,0.434350538268682,0.6521739130434783,0.0,0.26353790169998653]"
221,"[0.15625,0.4357719266368353,0.4336533991748404,0.7391304347826086,0.0,0.1042599296998629]"
222,"[0.15625,0.4360409378495175,0.43443603646986495,0.7391304347826086,0.0,0.1042599296998629]"
223,"[0.15625,0.4361393565852923,0.4347056846048323,0.7391304347826086,0.0,0.1042599296998629]"
224,"[0.15625,0.43686765519248216,0.43480433636095395,0.7391304347826086,0.0,0.1042599296998629]"
225,"[0.15625,0.4364739802493829,0.4355343593186217,0.7391304347826086,0.0,0.1042599296998629]"
226,"[0.06640625,0.43592283533842985,0.4309898018536366,0.43478260869565216,0.0,0.4043321263749891]"
227,"[0.06640625,0.4357325591331394,0.43458730246926175,0.43478260869565216,0.0,0.4043321263749891]"
228,"[1.0,0.4356603853920069,0.4326208441713382,0.34782608695652173,1.0,0.1963898992493086]"
229,"[1.0,0.4354701091698511,0.4343242311352842,0.34782608695652173,1.0,0.1963898992493086]"
230,"[0.06640625,0.4361196728099795,0.43278526370215326,0.43478260869565216,0.0,0.25848376519360383]"
231,"[0.06640625,0.43619840781737124,0.4347846059815051,0.43478260869565216,0.0,0.25848376519360383]"
232,"[0.12890625,0.4359687640849201,0.43100953209196297,0.6521739130434783,0.0,0.4310469334885777]"
233,"[0.12890625,0.43599500910302724,0.43463333995858794,0.6521739130434783,0.0,0.4310469334885777]"
234,"[0.15625,0.43623777532106706,0.43384412593313487,0.7391304347826086,0.0,0.09357400892014801]"
235,"[0.15625,0.4361327953424979,0.4349029881170756,0.7391304347826086,0.0,0.09357400892014801]"
236,"[0.15625,0.43668394020652124,0.4347977595834846,0.7391304347826086,0.0,0.09357400892014801]"
237,"[0.15625,0.43668394020652124,0.435350209361317,0.7391304347826086,0.0,0.09357400892014801]"
238,"[0.15625,0.436421490307028,0.435350209361317,0.7391304347826086,0.0,0.09357400892014801]"
239,"[0.04296875,0.4356538241374801,0.4322196602753005,0.34782608695652173,0.0,0.3061371909521636]"
240,"[0.04296875,0.4360671828206949,0.4343176543460547,0.34782608695652173,0.0,0.3061371909521636]"
241,"[0.0703125,0.4358965903672524,0.43116079806783936,0.43478260869565216,0.0,0.38122745512934125]"
242,"[0.0703125,0.43569319162944353,0.4345609953593844,0.43478260869565216,0.0,0.38122745512934125]"
243,"[0.09765625,0.4359162740956355,0.43101610896351394,0.5652173913043478,0.0,0.40649819963287137]"
244,"[0.09765625,0.43577848787962964,0.4345807256917924,0.5652173913043478,0.0,0.40649819963287137]"
245,"[0.16015625,0.43567350790106046,0.4338178187762167,0.7391304347826086,0.0,0.059205774292137144]"
246,"[0.16015625,0.43541761917690014,0.4343373847137433,0.7391304347826086,0.0,0.059205774292137144]"
247,"[0.09765625,0.43562757914283784,0.4325616530800326,0.5652173913043478,0.0,0.23249096872783892]"
248,"[0.09765625,0.43573912037593376,0.4342913472126569,0.5652173913043478,0.0,0.23249096872783892]"
249,"[0.16015625,0.4373138200779363,0.4347977595834846,0.7826086956521738,0.0,0.19277978403857338]"
250,"[0.16015625,0.43760907628526075,0.4359815805628632,0.7826086956521738,0.0,0.19277978403857338]"
251,"[0.04296875,0.4359293965812242,0.4305951948291499,0.34782608695652173,0.0,0.4483754369228136]"
252,"[0.04296875,0.43573912037593376,0.4345938792467311,0.34782608695652173,0.0,0.4483754369228136]"
253,"[0.0703125,0.4373006975923476,0.43565274140715143,0.43478260869565216,0.0,0.10108303740358633]"
254,"[0.0703125,0.43762876010750323,0.4359684270079245,0.4782608695652174,0.0,0.10108303740358633]"
255,"[0.04296875,0.4358769065919396,0.4317790159026101,0.34782608695652173,0.0,0.34729241759428214]"
256,"[0.04296875,0.4360015703458216,0.43454126497993556,0.34782608695652173,0.0,0.34729241759428214]"
257,"[0.0703125,0.4365199090428028,0.4325484995250939,0.43478260869565216,0.0,0.36317689973287054]"
258,"[0.0703125,0.4369135839859021,0.435185789830502,0.43478260869565216,0.0,0.36317689973287054]"
259,"[0.16015625,0.43573912037593376,0.4324498477689722,0.7391304347826086,0.0,0.2758122686278397]"
260,"[0.16015625,0.43602125407420467,0.43440315253547745,0.7391304347826086,0.0,0.2758122686278397]"
261,"[0.0166015625,0.43580473287427196,0.43300229764088627,0.30434782608695654,0.0,0.1163010251342236]"
262,"[0.0166015625,0.4363165103284588,0.43446892038073204,0.30434782608695654,0.0,0.1163010251342236]"
