LineRef,BlockRef,Day,VehicleJourneyRef,DestinationAimedArrivalTime,JourneyCode,FromStopID,FromStopLocation,ToStopID,ToStopLocation,AimedDepartureTime,AimedArrivalTime,ActualDepartureTime,ActualArrivalTime,RouteID,ActualDepartureDateTime,ActualArrivalDateTime,DepartureDate,ArrivalDate,TravelTime,TravelTimeInSeconds,ArrivalDifference,DepartureDifference,HourOfDay,DayOfWeek,ArrivalHour
NT1,1001.0,Friday,NT1-In-1001-NT260007454-2024-08-23T11:14:00-2024-08-23,11:15:00,1081.0,260007423,"(-1.202979, 52.7731152)",260007343,"(-1.1997359, 52.7754058)",2024-08-23 11:14:00,2024-08-23 11:15:00,2024-08-23 11:15:31,2024-08-23 11:16:32,1:1_2_2147483283,2024-08-23 11:15:31+01:00,2024-08-23 11:16:32+01:00,2024-08-23,2024-08-23,1.0166666666666666,61.0,1.5333333333333334,1.5166666666666666,11,Friday,11
NT1,1001.0,Tuesday,NT1-In-1001-NT260007454-2024-08-27T08:56:00-2024-08-27,08:57:00,1053.0,260007454,"(np.float64(-1.2052472), np.float64(52.7720907))",260007423,"(-1.202979, 52.7731152)",2024-08-27 08:56:00,2024-08-27 08:56:00,2024-08-27 08:53:18,2024-08-27 08:58:24,1:1_1_2147483284,2024-08-27 08:53:18+01:00,2024-08-27 08:58:24+01:00,2024-08-27,2024-08-27,5.1,306.0,2.4,-2.7,8,Tuesday,8
NT1,1001.0,Tuesday,NT1-In-1001-NT260007454-2024-08-27T08:56:00-2024-08-27,08:57:00,1053.0,260007423,"(-1.202979, 52.7731152)",260007343,"(-1.1997359, 52.7754058)",2024-08-27 08:56:00,2024-08-27 08:57:00,2024-08-27 08:58:24,2024-08-27 08:59:14,1:1_2_2147483283,2024-08-27 08:58:24+01:00,2024-08-27 08:59:14+01:00,2024-08-27,2024-08-27,0.8333333333333334,50.0,2.2333333333333334,2.4,8,Tuesday,8
NT1,1001.0,Tuesday,NT1-In-1001-NT260007454-2024-08-27T11:14:00-2024-08-27,11:15:00,1081.0,260007454,"(np.float64(-1.2052472), np.float64(52.7720907))",260007423,"(-1.202979, 52.7731152)",2024-08-27 11:14:00,2024-08-27 11:14:00,2024-08-27 11:06:07,2024-08-27 11:14:45,1:1_1_2147483284,2024-08-27 11:06:07+01:00,2024-08-27 11:14:45+01:00,2024-08-27,2024-08-27,8.633333333333333,518.0,0.75,-7.883333333333334,11,Tuesday,11
NT1,1001.0,Tuesday,NT1-In-1001-NT260007454-2024-08-27T11:14:00-2024-08-27,11:15:00,1081.0,260007423,"(-1.202979, 52.7731152)",260007343,"(-1.1997359, 52.7754058)",2024-08-27 11:14:00,2024-08-27 11:15:00,2024-08-27 11:14:45,2024-08-27 11:16:15,1:1_2_2147483283,2024-08-27 11:14:45+01:00,2024-08-27 11:16:15+01:00,2024-08-27,2024-08-27,1.5,90.0,1.25,0.75,11,Tuesday,11
NT1,1001.0,Tuesday,NT1-In-1001-NT260007454-2024-08-27T18:26:00-2024-08-27,18:27:00,1173.0,260007454,"(np.float64(-1.2052472), np.float64(52.7720907))",260007423,"(-1.202979, 52.7731152)",2024-08-27 18:26:00,2024-08-27 18:26:00,2024-08-27 18:11:54,2024-08-27 18:26:34,1:1_1_2147483284,2024-08-27 18:11:54+01:00,2024-08-27 18:26:34+01:00,2024-08-27,2024-08-27,14.666666666666666,880.0,0.5666666666666667,-14.1,18,Tuesday,18
NT1,1001.0,Tuesday,NT1-In-1001-NT260007454-2024-08-27T18:26:00-2024-08-27,18:27:00,1173.0,260007423,"(-1.202979, 52.7731152)",260007343,"(-1.1997359, 52.7754058)",2024-08-27 18:26:00,2024-08-27 18:27:00,2024-08-27 18:26:34,2024-08-27 18:28:14,1:1_2_2147483283,2024-08-27 18:26:34+01:00,2024-08-27 18:28:14+01:00,2024-08-27,2024-08-27,1.6666666666666667,100.0,1.2333333333333334,0.5666666666666667,18,Tuesday,18
NT1,2001.0,Wednesday,NT1-In-2001-NT260007226-2024-08-21T16:13:00-2024-08-21,16:33:00,1153.0,260007226,"(np.float64(-1.1996489), np.float64(52.7656494))",260007454,"(-1.2052472, 52.7720907)",2024-08-21 16:13:00,2024-08-21 16:20:00,2024-08-21 16:18:53,2024-08-21 16:18:53,1:7_1_2147483028,2024-08-21 16:18:53+01:00,2024-08-21 16:18:53+01:00,2024-08-21,2024-08-21,0.0,0.0,-1.1166666666666667,5.883333333333334,16,Wednesday,16
NT1,2001.0,Wednesday,NT1-In-2001-NT260007226-2024-08-21T16:13:00-2024-08-21,16:33:00,1153.0,260007454,"(-1.2052472, 52.7720907)",260007423,"(-1.202979, 52.7731152)",2024-08-21 16:20:00,2024-08-21 16:20:00,2024-08-21 16:18:53,2024-08-21 16:21:02,1:7_2_2147483284,2024-08-21 16:18:53+01:00,2024-08-21 16:21:02+01:00,2024-08-21,2024-08-21,2.15,129.0,1.0333333333333334,-1.1166666666666667,16,Wednesday,16
NT1,2001.0,Wednesday,NT1-In-2001-NT260007226-2024-08-21T16:13:00-2024-08-21,16:33:00,1153.0,260007423,"(-1.202979, 52.7731152)",260007343,"(-1.1997359, 52.7754058)",2024-08-21 16:20:00,2024-08-21 16:21:00,2024-08-21 16:21:02,2024-08-21 16:21:50,1:7_3_2147483283,2024-08-21 16:21:02+01:00,2024-08-21 16:21:50+01:00,2024-08-21,2024-08-21,0.8,48.0,0.8333333333333334,1.0333333333333334,16,Wednesday,16
