id,JourneyCode,TravelTime,ArrivalDifference,DepartureDifference,HourOfDay,ArrivalHour,DepartureHour,IsWeekend,AvgTravelTimeByJourney
126,1129.0,2.15,1.8833333333333333,0.7333333333333333,14,14,14,0,5.341666666666667
127,1157.0,2.2666666666666666,1.0166666666666666,-1.25,16,16,16,0,1.5083333333333335
128,1157.0,0.8666666666666667,0.8833333333333333,1.0166666666666666,16,16,16,0,1.5083333333333335
129,1157.0,2.6666666666666665,2.55,0.8833333333333333,16,16,16,0,1.5083333333333335
130,1157.0,0.0,2.55,2.55,16,16,16,0,1.5083333333333335
131,1157.0,0.0,1.55,2.55,16,16,16,0,1.5083333333333335
132,1157.0,3.25,0.8,1.55,16,16,16,0,1.5083333333333335
133,1065.0,7.366666666666666,2.5166666666666666,-4.85,9,9,9,0,4.5249999999999995
134,1065.0,1.6833333333333331,3.2,2.5166666666666666,9,9,9,0,4.5249999999999995
135,1093.0,6.016666666666667,2.1333333333333333,-3.883333333333333,12,12,12,0,3.3333333333333335
136,1093.0,0.65,1.7833333333333334,2.1333333333333333,12,12,12,0,3.3333333333333335
137,1065.0,3.5166666666666666,0.6666666666666666,-2.85,9,9,9,0,2.3
138,1065.0,1.0833333333333333,0.75,0.6666666666666666,9,9,9,0,2.3
139,1129.0,9.316666666666666,1.4,-7.916666666666667,14,14,14,0,5.491666666666666
140,1129.0,1.6666666666666667,2.066666666666667,1.4,14,14,14,0,5.491666666666666
141,1157.0,1.65,2.216666666666667,0.5666666666666667,16,16,16,0,1.4222222222222223
142,1157.0,0.8,2.0166666666666666,2.216666666666667,16,16,16,0,1.4222222222222223
143,1157.0,2.25,3.2666666666666666,2.0166666666666666,16,16,16,0,1.4222222222222223
144,1157.0,0.4666666666666667,3.733333333333333,3.2666666666666666,16,16,16,0,1.4222222222222223
145,1157.0,0.2666666666666666,3.0,3.733333333333333,16,16,16,0,1.4222222222222223
146,1157.0,3.1,2.1,3.0,16,16,16,0,1.4222222222222223
147,1041.0,3.15,1.6833333333333331,-1.4666666666666666,7,7,7,0,1.5229166666666667
148,1041.0,1.85,2.533333333333333,1.6833333333333331,7,7,7,0,1.5229166666666667
149,1041.0,2.9833333333333334,3.5166666666666666,2.533333333333333,7,7,7,0,1.5229166666666667
150,1041.0,0.0,3.5166666666666666,3.5166666666666666,7,7,7,0,1.5229166666666667
151,1041.0,0.0,2.5166666666666666,3.5166666666666666,7,7,7,0,1.5229166666666667
152,1041.0,2.966666666666667,1.4833333333333334,2.5166666666666666,7,7,7,0,1.5229166666666667
153,1041.0,0.0,0.4833333333333333,1.4833333333333334,7,7,7,0,1.5229166666666667
154,1041.0,1.2333333333333334,0.7166666666666667,0.4833333333333333,7,7,7,0,1.5229166666666667
155,1069.0,0.0,-7.683333333333334,-7.683333333333334,10,10,10,0,4.541666666666667
156,1069.0,9.083333333333334,0.4,-7.683333333333334,10,10,10,0,4.541666666666667
